symbol,ex_date,amount_per_unit,distribution_type,notes
IRBINVIT,2022-08-03,2.0,dividend,Yahoo Finance chart dividend event
IRBINVIT,2022-10-20,2.05,dividend,Yahoo Finance chart dividend event
IRBINVIT,2023-02-10,2.0,dividend,Yahoo Finance chart dividend event
IRBINVIT,2023-05-12,2.0,dividend,Yahoo Finance chart dividend event
IRBINVIT,2023-08-10,2.0,dividend,Yahoo Finance chart dividend event
IRBINVIT,2023-11-01,2.0,dividend,Yahoo Finance chart dividend event
IRBINVIT,2024-02-05,2.0,dividend,Yahoo Finance chart dividend event
IRBINVIT,2024-05-07,2.0,dividend,Yahoo Finance chart dividend event
IRBINVIT,2024-07-31,2.0,dividend,Yahoo Finance chart dividend event
IRBINVIT,2024-10-31,2.0,dividend,Yahoo Finance chart dividend event
IRBINVIT,2025-01-30,2.0,dividend,Yahoo Finance chart dividend event
IRBINVIT,2025-05-13,2.0,dividend,Yahoo Finance chart dividend event
IRBINVIT,2025-07-24,2.0,dividend,Yahoo Finance chart dividend event
IRBINVIT,2025-11-18,1.5,dividend,Yahoo Finance chart dividend event
IRBINVIT,2026-02-16,1.5,dividend,Yahoo Finance chart dividend event
IRBINVIT,2026-05-20,1.6,dividend,Yahoo Finance chart dividend event
IRBINVIT,2026-07-28,1.625,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2013-01-31,4.807608,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2013-02-28,4.195917,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2013-03-31,4.816572,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2013-04-29,4.153344,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2013-05-31,4.434834,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2013-06-28,4.040636,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2013-07-31,4.447951,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2013-08-30,5.798431,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2013-09-30,1.372568,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2013-10-31,5.458008,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2013-11-29,4.758855,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2013-12-31,5.115358,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2014-01-31,4.980548,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2014-02-28,4.514188,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2014-03-31,5.193362,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2014-04-29,4.782695,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2014-05-30,4.963781,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2014-06-30,4.91513,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2014-07-31,5.224548,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2014-08-31,4.919601,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2014-09-30,4.614091,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2014-10-31,4.584808,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2014-11-30,4.308461,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2014-12-31,4.661373,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2015-01-30,4.436656,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2015-02-27,3.97479,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2015-03-31,4.353391,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2015-04-29,4.199502,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2015-05-29,4.167952,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2015-06-30,3.864691,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2015-07-31,3.978026,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2015-08-31,3.964146,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2015-09-30,3.878907,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2015-10-30,3.678193,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2015-11-30,3.810818,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2015-12-31,3.783955,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2016-01-31,3.857865,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2016-02-29,3.457543,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2016-03-31,3.712569,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2016-04-29,3.251065,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2016-05-31,3.556395,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2016-06-30,3.755725,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2016-07-31,3.459206,dividend,Yahoo Finance chart dividend event
